PROCEDIMENTO,Código SIGTAP,SIGTAP- Procedimento
ABAIXAMENTO DE COLON,0407020241,FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)
ABAIXAMENTO DE COLON,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ABDOMINOSACROPERINEAL PENA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ABORDAGEM TRANSESFENOIDAL PARA TUMOR DE HIPÓFISE,0403030064,HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
ADENOIDECTOMIA,0404010016,ADENOIDECTOMIA
ADENOIDECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
ADENOIDECTOMIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
ADENOIDECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ADRENALECTOMIA,0416010202,SUPRARRENALECTOMIA EM ONCOLOGIA
ADRENALECTOMIA,0416040349,PANCREATECTOMIA PARCIAL VIDEOLAPAROSCÓPICA EM ONCOLOGIA
ADRENALECTOMIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ADRENALECTOMIA,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ADRENALECTOMIAVIDEOLAPAROSCÓPICA,0402020022,SUPRARRENALECTOMIA UNILATERAL
ADRENALECTOMIAVIDEOLAPAROSCÓPICA,0416010202,SUPRARRENALECTOMIA EM ONCOLOGIA
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0406040010,ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0406040214,EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR POR PUNÇÃO DIRETA (INCLUI DROGAS EMBOLIZANTES)
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0416040179,ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO
ALCOOLIZAÇÃO PERCUTANEA DE HEMANGIOMAS E MALFORMAÇÕES VENOSAS,0416040187,TRATAMENTO DE CARCINOMA HEPÁTICO POR RADIOFREQUÊNCIA
ALONGAMENTO DE TENDAO,0408050080,FASCIOTOMIA DE MEMBROS INFERIORES
ALONGAMENTO DE TENDAO,0408060018,ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO
ALONGAMENTO DE TENDAO,0408060182,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ
ALONGAMENTO DE TENDAO,0415020069,PROCEDIMENTOS SEQUENCIAIS EM ORTOPEDIA
ALONGAMENTO DOS OSSOS DA PERNA,0408060034,ALONGAMENTO E/OU TRANSPORTE ÓSSEO DE OSSOS LONGOS (EXCETO DA MÃO E DO PÉ)
ALONGAMENTO E/OU TRANSPORTE DE OSSEO DOS OSSOS CURTOS OU LONGOS DA MÃO E DO PÉ,0408050748,TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO
AMIDALECTOMIA,0308040015,TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS
AMIDALECTOMIA,0404010024,AMIGDALECTOMIA
AMIDALECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
AMIDALECTOMIA,0404010130,EXTIRPAÇÃO DE TUMOR DO CAVUM E FARINGE
AMIDALECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMIDALECTOMIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
AMIDALECTOMIA,0416020178,LINFADENECTOMIA CERVICAL SUPRAOMO-HIOIDEA UNILATERAL EM ONCOLOGIA
AMIDALECTOMIA,0416030041,RESSECÇÃO DE GLÂNDULA SUBMANDIBULAR EM ONCOLOGIA
AMIDALECTOMIA,0416030068,GLOSSECTOMIA PARCIAL EM ONCOLOGIA
AMIDALECTOMIA,0416030351,RESSECÇÃO DE LESÃO MALIGNA DE MUCOSA BUCAL EM ONCOLOGIA
AMIDALECTOMIA COM ADENOIDECTOMIA,0404010024,AMIGDALECTOMIA
AMIDALECTOMIA COM ADENOIDECTOMIA,0404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
AMIDALECTOMIA COM ADENOIDECTOMIA,0404010237,MICROCIRURGIA OTOLOGICA
AMIDALECTOMIA COM ADENOIDECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMPLIACAO DE MARGENS,0401020045,"EXCISÃO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )"
AMPLIACAO DE MARGENS,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
AMPLIACAO DE MARGENS,0413040178,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA
AMPLIACAO DE MARGENS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMPLIACAO DE MARGENS,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416020240,LINFADENECTOMIA SELETIVA GUIADA (LINFONODO SENTINELA) EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416030211,FARINGECTOMIA PARCIAL EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416080014,EXCISÂO E ENXERTO DE PELE EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416080030,EXCISÃO E SUTURA DE LESÃO NA PELE COM PLASTICA EM Z OU ROTAÇÃO DE RETALHO EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416080120,EXTIRPAÇÃO MÚLTIPLA DE LESÃO DA PELE OU TECIDO CELULAR SUBCUTÂNEO EM ONCOLOGIA
AMPLIACAO DE MARGENS,0416120059,SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA
AMPUTACAO ABDOMINO-PERINEAL DO RETO,0407040188,LIBERAÇÃO DE ADERÊNCIAS INTESTINAIS
AMPUTACAO ABDOMINO-PERINEAL DO RETO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMPUTACAO ABDOMINO-PERINEAL DO RETO,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
AMPUTACAO ABDOMINO-PERINEAL DO RETO,0416050018,AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA
AMPUTACAO ABDOMINO-PERINEAL DO RETO,0416050123,COLECTOMIA VIDEOLAPAROSCÓPICA EM ONCOLOGIA
AMPUTACAO AO NIVEL DO TORNOZELO,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO AO NIVEL DO TORNOZELO,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO AO NIVEL DOS METACARPIANOS,0408020016,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO
AMPUTACAO DE DEDO (MÃO),0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
AMPUTACAO DE DEDO (MÃO),0416090133,RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA
AMPUTACAO DE DEDO (MÃO),0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
AMPUTACAO DE MEMBRO INFERIOR,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
AMPUTACAO DE MEMBRO INFERIOR,0408020024,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES
AMPUTACAO DE MEMBRO INFERIOR,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO DE MEMBRO INFERIOR,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO DE MEMBRO INFERIOR,0416090010,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
AMPUTACAO DE MEMBRO INFERIOR,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
AMPUTACAO DE PE,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
AMPUTACAO DE PE,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO DE PE,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO DE PE,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
AMPUTACAO DE PE,0408060182,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ
AMPUTACAO DE PE,0408060557,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES)
AMPUTACAO DE PE,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
AMPUTACAO DE PE,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
AMPUTACAO DE PODODACTILOS,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
AMPUTACAO DE PODODACTILOS,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
AMPUTACAO DE PODODACTILOS,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO DE PODODACTILOS,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO DE PODODACTILOS,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
AMPUTACAO DE PODODACTILOS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMPUTACAO DE PODODACTILOS,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
AMPUTACAO DE PODODACTILOS,0416090010,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
AMPUTACAO DE PODODACTILOS,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
AMPUTACAO DO ANTEBRACO,0408020024,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES
AMPUTACAO INFRACONDILIANA,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO INFRACONDILIANA,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO SUPRACONDILIANA,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
AMPUTACAO SUPRACONDILIANA,0403070171,TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM TROMBECTOMIA MECÂNICA
AMPUTACAO SUPRACONDILIANA,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
AMPUTACAO SUPRACONDILIANA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
AMPUTACAO SUPRACONDILIANA,0416090010,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
AMPUTACAO SUPRACONDILIANA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
AMPUTACAO TRANSMETATARSIANA,0408050020,AMPUTACAO / DESARTICULACAO DE PE E TARSO
AMPUTACAO TRANSMETATARSIANA,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
AMPUTACAO TRANSMETATARSIANA,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
ANASTOMOSE BILIO-DIGESTIVA,0407030018,ANASTOMOSE BILEO-DIGESTIVA
ANASTOMOSE BILIO-DIGESTIVA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANASTOMOSE BILIO-DIGESTIVA,0416040209,LAPAROTOMIA EXPLORADORA COM RESSECÇÃO COMPLETA OU INCOMPLETA DO TUMOR EM ONCOLOGIA
ANASTOMOSE BILIO-DIGESTIVA,0416040233,COLECISTECTOMIA EM ONCOLOGIA
ANASTOMOSE BILIO-DIGESTIVA,0505020068,TRANSPLANTE DE FIGADO (ORGAO DE DOADOR VIVO)
ANASTOMOSE BILIO-DIGESTIVA,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ANASTOMOSE BILIO-DIGESTIVA:COLANGIOJEJUNO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANASTOMOSE BILIO-DIGESTIVA:COLANGIOJEJUNO,0416040128,DUODENOPANCREATECTOMIA EM ONCOLOGIA
ANASTOMOSE BILIO-DIGESTIVA:COLEDOCOJEJUN,0505020050,TRANSPLANTE DE FIGADO (ORGAO DE DOADOR FALECIDO)
ANASTOMOSE BILIO-DIGESTIVA:HEPATOJEJUNOS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANASTOMOSE PORTO-CAVA (DERIVACAO),0406020035,ANASTOMOSE PORTO-CAVA
ANASTOMOSE PORTO-CAVA (DERIVACAO),0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ANASTOMOSE TERMINO TERMINAL DE LARINGE-TRAQUEIA,0412010100,TRAQUEOPLASTIA E/OU LARINGOTRAQUEOPLASTIA
ANASTOMOSE TERMINO TERMINAL DE LARINGE-TRAQUEIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANASTOMOSE TERMINO-TERMINAL DE ESOFAGO,0407010068,ESÔFAGO-COLONPLASTIA
ANASTOMOSE TERMINO-TERMINAL DE ESOFAGO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANESTESIA GERAL ATOS CIRURG. EM DEF. FIS./MENTAL E CRIANCAS,0303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
ANEURISMECTOMIA ABDOMINAL,0406020043,ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
ANEURISMECTOMIA ABDOMINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANEURISMECTOMIA DA AORTA TORACICA,0406010846,RECONSTRUÇÃO DA RAIZ DA AORTA C/ TUBO VALVADO
ANEURISMECTOMIA DA AORTA TORACICA,0406010986,TROCA DE AORTA ASCENDENTE
ANEURISMECTOMIA DA AORTA TORACICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANEURISMECTOMIA DO VENT ESQ ASSOC A CIRURG,0406010706,INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NÃO A REVASCULARIZAÇÃO MIOCÁRDICA
ANEURISMECTOMIA DO VENT ESQ ASSOC A CIRURG,0406010714,INSTALAÇÃO DE ASSISTÊNCIA CIRCULATÓRIA
ANEURISMECTOMIA DO VENT ESQ ASSOC A CIRURG,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANEURISMECTOMIA PERIFERICA,0406020353,PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL
ANEURISMECTOMIA PERIFERICA,0406040338,TRATAMENTO ENDOVASCULAR DO PSEUDOANEURISMA
ANEXECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA CORONARIANA,0303060042,TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
ANGIOPLASTIA CORONARIANA,0406030014,ANGIOPLASTIA CORONARIANA
ANGIOPLASTIA CORONARIANA,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
ANGIOPLASTIA CORONARIANA,0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
ANGIOPLASTIA CORONARIANA,0406030049,ANGIOPLASTIA CORONARIANA PRIMÁRIA
ANGIOPLASTIA CORONARIANA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE DUPLA PROTESE INTRALUMINAL ARTERIAL,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE DUPLA PROTESE INTRALUMINAL ARTERIAL,0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE DUPLA PROTESE INTRALUMINAL ARTERIAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0303060042,TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0303060190,TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0406030014,ANGIOPLASTIA CORONARIANA
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0406030049,ANGIOPLASTIA CORONARIANA PRIMÁRIA
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0406030073,ANGIOPLASTIA EM ENXERTO CORONARIANO (COM IMPLANTE DE STENT)
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE PROTESE INTRALUMINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0303060042,TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0303060190,TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406010560,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÂMARA ÚNICA TRANSVENOSO
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406010587,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÃMARA DUPLA TRANSVENOSO
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406010935,REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS)
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406011206,TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406030014,ANGIOPLASTIA CORONARIANA
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0406030049,ANGIOPLASTIA CORONARIANA PRIMÁRIA
ANGIOPLASTIA CORONARIANA PRIMARIA (INCLUSO CATETERISMO),0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA DA AORTA E RAMOS E VASOS VENOSOS COM CATETER BALAO,0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
"ANGIOPLASTIA DA AORTA, ARTERIA PULMONAR E RAMOS E VASOS VENOSOS COM CATETER BALAO, COM STENT AORTICO NÃO RECOBERTO",0406020124,EMBOLECTOMIA ARTERIAL
"ANGIOPLASTIA DA AORTA, ARTERIA PULMONAR E RAMOS E VASOS VENOSOS COM CATETER BALAO, COM STENT AORTICO NÃO RECOBERTO",0406030057,ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS
"ANGIOPLASTIA DA AORTA, ARTERIA PULMONAR E RAMOS E VASOS VENOSOS COM CATETER BALAO, COM STENT AORTICO NÃO RECOBERTO",0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
"ANGIOPLASTIA DA AORTA, ARTERIA PULMONAR E RAMOS E VASOS VENOSOS COM CATETER BALAO, COM STENT AORTICO NÃO RECOBERTO",0406040150,CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA ABDOMINAL COM ENDOPRÓTESE RETA / CÔNICA
ANGIOPLASTIA EM ENXERTOS CORONARIANO COM IMPLANTE DE PROTESE,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
ANGIOPLASTIA INTRALUMINAL COM STENT RECOBERTO,0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ANGIOPLASTIA INTRALUMINAL COM STENT RECOBERTO,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
ANGIOPLASTIA INTRALUMINAL COM STENT RECOBERTO,0406040133,ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO)
ANGIOPLASTIA INTRALUMINAL COM STENT RECOBERTO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0406040133,ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO)
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0406040281,RECONSTRUÇÃO DA BIFURCAÇÃO AORTO-ILÍACA COM ANGIOPLASTIA E STENTS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT NÃO RECOBERTO",0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT RECOBERTO",0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS COM STENT RECOBERTO",0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS SEM STENT",0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS SEM STENT",0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS SEM STENT",0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
"ANGIOPLASTIA INTRALUMINAL DA AORTA, VEIA CAVA OU VASOS ILIACOS SEM STENT",0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO,0406040109,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0406040109,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
